"Zip Code","Total Population","Median Age","Total Males","Total Females","Total Households","Average Household Size"
"90744","53,815","28.7","27,298","26,517","13,999","3.83"
"90745","57,251","37.1","27,754","29,497","15,210","3.73"
"90746","25,990","40.7","11,944","14,046","8,050","3.14"
"90747","0","0","0","0","0","0"
"90755","11,074","36.1","5,462","5,612","4,172","2.64"
"90802","39,347","34.7","20,387","18,960","19,853","1.93"
"90803","32,031","42.7","15,609","16,422","17,318","1.84"
"90804","40,311","29.8","19,686","20,625","14,556","2.7"
"90805","93,524","29","45,229","48,295","26,056","3.56"
"90806","42,399","30.3","20,717","21,682","12,184","3.44"
"90807","31,481","39.7","15,153","16,328","12,452","2.49"
"90808","38,232","41.6","18,408","19,824","14,167","2.69"
"90810","36,735","31.8","18,067","18,668","9,289","3.9"
"90813","58,911","27.3","29,425","29,486","16,425","3.5"
"90814","19,131","37.2","9,356","9,775","9,170","2.06"
"90815","39,733","37.9","19,124","20,609","14,836","2.53"
"90822","117","63.9","109","8","2","4.5"
"90831","0","0","0","0","0","0"
"91001","36,126","41.6","17,421","18,705","12,663","2.83"
"91006","31,715","42.7","15,283","16,432","10,652","2.98"
"91007","34,095","43.8","16,039","18,056","12,033","2.73"
"91008","1,391","54.6","614","777","562","2.39"
"91010","26,074","38.1","12,461","13,613","7,972","3.2"
"91011","20,280","45.9","9,863","10,417","6,859","2.95"
"91016","40,598","37.9","19,434","21,164","15,029","2.69"
"91020","8,415","40.2","3,966","4,449","3,385","2.43"
"91024","10,917","46.6","5,165","5,752","4,837","2.26"
"91030","25,616","40.1","12,160","13,456","10,466","2.43"
"91040","20,372","43.3","10,120","10,252","7,359","2.72"
"91042","27,585","40.7","13,734","13,851","9,987","2.74"
"91046","156","74","51","105","114","1.37"
"91101","20,460","33.7","9,926","10,534","10,869","1.86"
"91103","27,480","35","13,481","13,999","8,492","3.11"
"91104","36,751","38.2","17,874","18,877","12,922","2.8"
"91105","11,254","49","5,432","5,822","5,213","2.07"
"91106","24,229","34.6","11,993","12,236","10,723","2.17"
"91107","32,940","41.2","15,940","17,000","13,028","2.51"
"91108","13,361","45.4","6,410","6,951","4,415","3.01"
"91201","22,781","40.4","11,123","11,658","8,150","2.78"
"91202","22,830","41.7","10,805","12,025","8,879","2.56"
"91203","13,220","38.9","6,279","6,941","5,044","2.62"
"91204","16,032","38.1","7,699","8,333","5,639","2.76"
"91205","37,810","39.1","18,084","19,726","14,089","2.67"
"91206","33,065","42.6","15,544","17,521","13,261","2.48"
"91207","10,506","45.5","4,924","5,582","4,097","2.56"
"91208","16,245","43.6","7,756","8,489","6,106","2.66"
"91210","328","33.9","162","166","178","1.84"
"91214","30,356","42.5","14,642","15,714","10,551","2.87"
"91301","25,488","42.7","12,511","12,977","9,208","2.76"
"91302","25,709","42.4","12,487","13,222","9,303","2.76"
"91303","26,855","31.1","13,907","12,948","8,697","3.08"
"91304","50,231","35.9","24,827","25,404","16,532","3"
"91306","45,061","35.4","22,679","22,382","13,635","3.28"
"91307","24,474","43.4","11,939","12,535","8,315","2.91"
"91311","36,557","42.7","17,838","18,719","13,425","2.66"
"91316","26,898","42.1","12,717","14,181","11,911","2.26"
"91321","34,882","33.3","17,402","17,480","11,215","3.04"
"91324","27,669","36.5","13,545","14,124","9,289","2.95"
"91325","32,417","35.4","15,819","16,598","11,825","2.72"
"91326","33,708","42.7","16,394","17,314","11,770","2.86"
"91330","2,702","19.6","1,103","1,599","2","2.5"
"91331","103,689","29.5","52,358","51,331","22,465","4.6"
"91335","74,363","35.5","36,596","37,767","22,855","3.21"
"91340","34,188","30.1","17,130","17,058","8,176","4.17"
"91342","91,725","31.9","45,786","45,939","23,543","3.83"
"91343","60,254","32.3","30,145","30,109","16,802","3.55"
"91344","51,747","41","25,212","26,535","16,872","3.03"
"91345","18,496","35.7","9,110","9,386","5,192","3.52"
"91350","33,348","36.4","16,270","17,078","10,991","3.01"
"91351","32,362","33.9","16,086","16,276","10,036","3.22"
"91352","47,807","32.1","23,980","23,827","11,985","3.95"
"91354","28,722","36.4","14,046","14,676","9,522","3.01"
"91355","32,605","38.8","15,773","16,832","12,772","2.51"
"91356","29,458","41.7","14,216","15,242","11,686","2.5"
"91361","20,438","47.6","9,854","10,584","8,374","2.43"
"91362","36,045","42.6","17,562","18,483","13,563","2.65"
"91364","25,851","44","12,739","13,112","10,409","2.47"
"91367","39,499","41","19,171","20,328","16,697","2.35"
"91377","13,811","41.7","6,641","7,170","5,158","2.68"
"91381","20,158","36","9,852","10,306","6,636","3.04"
"91384","29,855","32.5","18,503","11,352","6,925","3.3"
"91387","40,328","33","20,106","20,222","12,871","3.13"
"91390","19,786","40.1","9,911","9,875","6,369","3.07"
"91401","39,285","36","19,613","19,672","14,380","2.7"
"91402","69,817","30.1","35,095","34,722","18,194","3.81"
"91403","23,484","39.4","11,277","12,207","11,358","2.06"
"91405","51,145","32.6","25,498","25,647","16,256","3.11"
"91406","51,558","33.6","25,956","25,602","17,042","3.02"
"91411","24,628","33.8","12,495","12,133","9,177","2.63"
"91423","30,991","39.2","14,789","16,202","14,876","2.07"
"91436","14,372","46.5","6,890","7,482","5,552","2.57"
"91501","20,849","38.3","10,040","10,809","8,235","2.53"
"91502","11,371","36.4","5,402","5,969","5,001","2.26"
"91504","24,939","38.6","12,006","12,933","9,180","2.69"
"91505","30,778","38.9","15,121","15,657","13,180","2.33"
"91506","18,904","40.9","9,115","9,789","7,555","2.45"
"91601","37,180","32.9","18,932","18,248","15,970","2.32"
"91602","17,473","38","8,722","8,751","9,277","1.88"
"91604","29,034","40.2","14,271","14,763","14,292","2.01"
"91605","56,343","31.9","28,417","27,926","15,357","3.61"
"91606","44,958","34.3","22,376","22,582","14,903","3"
"91607","27,927","38.2","13,635","14,292","12,859","2.15"
"91608","0","0","0","0","0","0"
"91702","59,705","29.4","29,486","30,219","15,455","3.67"
"91706","76,571","30.5","37,969","38,602","17,504","4.35"
"91709","74,796","36.6","36,954","37,842","22,940","3.25"
"91710","80,358","33","42,283","38,075","21,952","3.43"
"91711","35,705","38.6","16,777","18,928","11,868","2.58"
"91722","34,409","34","16,859","17,550","10,079","3.41"
"91723","18,275","35","8,783","9,492","6,296","2.86"
"91724","26,184","37.9","12,780","13,404","8,508","3.05"
"91731","29,591","32.9","14,888","14,703","8,007","3.66"
"91732","61,386","31.4","30,755","30,631","14,700","4.13"
"91733","43,896","30.5","22,191","21,705","9,918","4.4"
"91740","25,356","38.5","12,269","13,087","8,376","2.94"
"91741","25,824","41.8","12,498","13,326","9,126","2.82"
"91744","85,040","30.9","42,564","42,476","18,648","4.55"
"91745","54,013","40.1","26,287","27,726","16,188","3.33"
"91746","30,485","32.4","15,116","15,369","6,743","4.5"
"91748","45,406","39.8","22,368","23,038","13,311","3.4"
"91750","33,249","42.6","15,881","17,368","11,944","2.71"
"91754","32,742","42.9","15,620","17,122","11,193","2.92"
"91755","27,496","43.4","13,271","14,225","8,760","3.12"
"91759","476","47.2","239","237","216","2.2"
"91763","36,375","30.8","18,099","18,276","9,450","3.81"
"91765","46,457","40.8","22,702","23,755","15,039","3.08"
"91766","71,599","28.7","36,111","35,488","17,708","4.01"
"91767","48,068","31.2","23,685","24,383","13,691","3.47"
"91768","34,537","27.3","17,509","17,028","7,885","3.87"
"91770","62,097","38.3","30,521","31,576","16,588","3.7"
"91773","33,119","42.5","15,737","17,382","11,941","2.73"
"91775","23,988","41.4","11,448","12,540","8,227","2.9"
"91776","38,475","39","18,751","19,724","11,776","3.24"
"91780","34,332","41.1","16,438","17,894","11,318","3.03"
"91784","25,938","44.5","12,729","13,209","8,934","2.9"
"91786","51,165","33","24,516","26,649","18,087","2.79"
"91789","43,079","42.8","20,988","22,091","12,891","3.31"
"91790","44,907","35.2","21,721","23,186","12,751","3.49"
"91791","32,414","38","15,512","16,902","10,236","3.15"
"91792","30,854","35.3","14,950","15,904","9,154","3.35"
"91801","52,735","39.1","24,833","27,902","19,315","2.71"
"91803","30,322","39.6","14,486","15,836","9,894","3.04"
"92301","32,725","25.6","16,857","15,868","8,132","3.81"
"92371","16,763","37.9","8,565","8,198","5,370","3.11"
"92372","6,220","41.8","3,136","3,084","2,198","2.83"
"92397","4,894","44.1","2,522","2,372","1,998","2.45"
"92821","35,533","38.7","17,338","18,195","13,062","2.72"
"92823","3,613","38.6","1,757","1,856","1,154","3.13"
"92833","51,767","36","25,643","26,124","15,849","3.23"
"93040","2,031","29.3","1,052","979","522","3.89"
"93063","54,366","39","26,592","27,774","18,650","2.9"
"93225","5,077","44","2,585","2,492","2,080","2.44"
"93243","1,699","40.9","884","815","623","2.73"
"93252","4,176","38.4","3,301","875","647","2.81"
"93510","7,993","45.2","4,086","3,907","2,729","2.86"
"93523","3,074","27","1,531","1,543","1,056","2.91"
"93532","2,932","41.7","1,642","1,290","1,079","2.45"
"93534","39,341","31.1","18,601","20,740","14,038","2.74"
"93535","72,046","28.3","34,879","37,167","20,672","3.44"
"93536","70,918","34.4","37,804","33,114","20,964","3.07"
"93543","13,033","32.9","6,695","6,338","3,560","3.66"
"93544","1,259","52.4","689","570","569","2.2"
"93550","74,929","27.5","36,414","38,515","20,864","3.58"
"93551","50,798","37","25,056","25,742","15,963","3.18"
"93552","38,158","28.4","18,711","19,447","9,690","3.93"
"93553","2,138","43.3","1,121","1,017","816","2.62"
"93560","18,910","32.4","9,491","9,419","6,469","2.92"
"93563","388","44.5","263","125","103","2.53"
"93591","7,285","30.9","3,653","3,632","1,982","3.67"
